ver,pag,tema_id,tema,tema_descricao,tema_definicao
v1.0,27,01,Unidades administrativas,Representação geográfica das unidades administrativas existentes em Portugal.,"As unidades administrativas são representadas através de polígonos que representam os distritos, concelhos e freguesias.
Este tema é concretizado a partir da Carta Administrativa Oficial de Portugal (CAOP)."
v1.0,30,02,Toponímia,"Nomes de áreas geográficas, lugares, localidades, cidades, áreas históricas, etc. O tema Toponímia fornece identidade aos objetos naturais e artificiais que constituem o território.","O tema é composto por apenas uma classe de objetos – 'DesignacaoLocal', que corresponde ao ponto que identifica uma localização natural, artificial ou cultural do território, considerada relevante para a sua caracterização."
v1.0,31,03,Altimetria,Descrição do relevo da superfície terrestre tendo como referência o Datum altimétrico oficial.,"O tema altimetria é constituído pelos fenómenos que fornecem valores de altitudes a partir da superfície de referência que permitem descrever a morfologia de determinada área.
O tema pressupõe a existência de dados vetoriais (classes de objetos 'Curva de nível', 'Linha de quebra' e 'Ponto cotado') e dados matriciais (modelo digital do terreno em formato grelha)."
v1.0,34,04,Hidrografia,"Elementos hidrográficos e estruturas, naturais ou artificiais, associadas.","O tema hidrografia constitui-se como um tema fundamental da Cartografia Topográfica fornecendo informação de elevada relevância aos mais variados usos e utilizações, uma vez que diz respeito à representação dos principais fenómenos hidrográficos naturais e artificiais do território nacional e bem como à rede dos cursos de água e respetivas estruturas associadas.
O tema não inclui informação relativa a navegação ou navegabilidade marítima ou fluvial, podendo esta informação ser posteriormente introduzida na fase de exploração da Cartografia Topográfica.
Não obstante o modelo de dados do Tema 'Hidrografia' não prever uma verdadeira rede topológica foi concebido de molde a que essa rede possa ser facilmente constituída. Para tal, o tema possui pontos que permitirão criar a conetividade topológica entre as linhas que constituem o 'Curso de água' e que formarão a futura rede hidrográfica. Assim, mesmo quando o 'Curso de Água' é representado pelas margens (por polígonos), é também representado por uma linha que traduz o seu eixo e que sustentará a criação da rede hidrográfica (Figura 6).
O tema possui ainda uma classe de objetos que permitirá a conectividade topológica entre as linhas - 'NoHidrografico'. Note-se que, e não obstante a designação da classe, estes objetos não se configuram como objetos com propriedades de conetividade topológica mas sim a pontos que permitirão constituir uma rede hidrográfica à custa da sua localização e dos seus atributos."
v1.0,45,05,Transportes,"Infraestruturas e locais associados ao transporte por cabo, aéreo, navegável, ferroviário e rodoviário.","O tema é constituído por 5 subtemas ('Transporte aéreo', 'Transporte ferroviário', 'Transporte por cabo', 'Transporte por via navegável' e 'Transporte rodoviário') e diz respeito às infraestruturas de transporte e áreas associadas (aeródromos, portos, estações de caminho de ferro ou estações de serviço) mas também às respetivas redes.
Em todos os subtemas existem componentes que visam a representação cartográfica e outras componentes que visam contribuir para a constituição de uma futura rede de transportes.
Nos subtemas 'Transporte ferroviário' e 'Transporte rodoviário' recorre-se a dois catálogos externos onde constam o universo dos caminhos-de-ferro, autoestradas e estradas e caminhos, nacionais e municipais."
v1.0,68,06,Construções,Identificação e caracterização geográfica das construções existentes no território.,"O tema diz respeito às construções que de alguma forma caracterizam o território englobando edifícios, muros e outras barreiras ou limites, piscinas, campos de jogos, etc. Este tema diz igualmente respeito aos sinais geodésicos, sendo que a modelação destas entidades é da responsabilidade da DGT.
O tema possui 5 entidades: 'Construção poligonal', 'Construção linear', 'Edifício', 'Ponto de interesse' e 'Sinal geodésico' relevando aqui a relação das entidades 'Construção poligonal' e 'Edifício' com entidades do Tema 'Infraestruturas e serviços púbicos'
O 'Edifício' relaciona-se com as entidades 'Administração pública e órgão de soberania', 'Instalação de gestão ambiental' e 'Instalação de produção'5 uma vez que a sua função é atribuída através destas entidades."
v1.0,74,07,Ocupação do solo,"Cobertura física e biológica do território, incluindo superfícies artificiais, áreas agrícolas, florestas e áreas seminaturais.","O tema 'Ocupação do solo' é constituído por duas entidades: 'Área agrícola, florestal ou mato' e 'Área artificializada' e visa fornecer informação de contexto útil à compreensão do território. Através das referidas entidades pretende-se a descrição das características biológicas e físicas do território.
A 'Área artificializada' representa uma área não natural onde se desenvolvem serviços ou atividades tais como escolas, complexos hospitalares ou complexos desportivos."
v1.0,76,08,Infraestruturas e serviços públicos,"Cobertura física e biológica do território, incluindo superfícies artificiais, áreas agrícolas, florestas e áreas seminaturais.","O tema 'Infraestruturas e serviços de interesse público' diz respeito, entre outros, às estruturas assocadas à água, telecomunicações, eletricidade, petróleo, gás e substâncias químicas e permite ainda caracterizar os edifícios, nomeadamente no que diz respeito ao tipo de serviço prestado."
v1.0,83,09,Mobiliário urbano e sinalização,Bens de utilidade pública destinados ao funcionamento do espaço urbano.,O Tema 'Mobiliário urbano e sinalização' é constituído por objetos habitualmente existentes nas áreas urbanas e que são fundamentais para o funcionamento dos equipamentos e infraestruturas urbanas. Estes objetos desempenham funções específicas e essenciais no contexto urbano e a sua gestão constitui uma das principais atividades desenvolvidas pelas entidades com competências na gestão urbanística.
v1.0,84,10,Ortofotos,Imagens ortorretificadas do território.,"Tema constituído por imagens aéreas ortorretificadas com 4 bandas radiométricas - Vermelho, Verde, Azul e Infravermelho próximo, ou apenas com 3 - Vermelho, Verde, Azul, recolhidas por satélites ou sensores aéreos."
v1.0,85,11,Auxiliar,Conjunto de dados de operacionalização da Cartografia Topográfica.,"Tema constituído por apenas uma entidade relativa à área de trabalho. Trata-se de um tema relevante no contexto da aquisição de informação e posterior carregamento na base de dados. Este tema permitirá delimitar a cobertura territorial dos dados e também definir os limites pelos quais todas as entidades representadas através de polígonos, e adquiridas no âmbito dos restantes temas, são artificialmente fechadas."
